Continent,Subregion,Country,Year,Period,Medium,High,Low
Africa,Eastern Africa,Burundi,1953,past,2449089,2449089,2449089
Africa,Eastern Africa,Comoros,1953,past,169748,169748,169748
Africa,Eastern Africa,Djibouti,1953,past,66273,66273,66273
Africa,Eastern Africa,Eritrea,1953,past,864893,864893,864893
Africa,Eastern Africa,Ethiopia,1953,past,19184288,19184288,19184288
Africa,Eastern Africa,Kenya,1953,past,6598172,6598172,6598172
Africa,Eastern Africa,Madagascar,1953,past,4348724,4348724,4348724
Africa,Eastern Africa,Malawi,1953,past,3135689,3135689,3135689
Africa,Eastern Africa,Mauritius,1953,past,537050,537050,537050
Africa,Eastern Africa,Mayotte,1953,past,17244,17244,17244
Africa,Eastern Africa,Mozambique,1953,past,6275232,6275232,6275232
Africa,Eastern Africa,Réunion,1953,past,276524,276524,276524
Africa,Eastern Africa,Rwanda,1953,past,2379688,2379688,2379688
Africa,Eastern Africa,Seychelles,1953,past,38003,38003,38003
Africa,Eastern Africa,Somalia,1953,past,2397188,2397188,2397188
Africa,Eastern Africa,South Sudan,1953,past,2552932,2552932,2552932
Africa,Eastern Africa,Uganda,1953,past,5596323,5596323,5596323
Africa,Eastern Africa,United Republic of Tanzania,1953,past,8267417,8267417,8267417
Africa,Eastern Africa,Zambia,1953,past,2498457,2498457,2498457
Africa,Eastern Africa,Zimbabwe,1953,past,3015662,3015662,3015662
Africa,Middle Africa,Angola,1953,past,4823330,4823330,4823330
Africa,Middle Africa,Cameroon,1953,past,4541788,4541788,4541788
Africa,Middle Africa,Central African Republic,1953,past,1370516,1370516,1370516
Africa,Middle Africa,Chad,1953,past,2636247,2636247,2636247
Africa,Middle Africa,Congo,1953,past,875106,875106,875106
Africa,Middle Africa,Democratic Republic of the Congo,1953,past,12944450,12944450,12944450
Africa,Middle Africa,Equatorial Guinea,1953,past,236322,236322,236322
Africa,Middle Africa,Gabon,1953,past,480536,480536,480536
Africa,Middle Africa,Sao Tome and Principe,1953,past,58184,58184,58184
Africa,Northern Africa,Algeria,1953,past,9364381,9364381,9364381
Africa,Northern Africa,Egypt,1953,past,22028132,22028132,22028132
Africa,Northern Africa,Libya,1953,past,1187740,1187740,1187740
Africa,Northern Africa,Morocco,1953,past,9837075,9837075,9837075
Africa,Northern Africa,Sudan,1953,past,6204099,6204099,6204099
