Language,Popularity,Year,Lang_year,Value[%]
TypeScript,Always,2022,TypeScript '22,6
TypeScript,Frequently,2022,TypeScript '22,13
TypeScript,Sometimes,2022,TypeScript '22,17
TypeScript,Rarely,2022,TypeScript '22,14
TypeScript,Never,2022,TypeScript '22,50
SQL,Always,2022,SQL '22,16
SQL,Frequently,2022,SQL '22,26
SQL,Sometimes,2022,SQL '22,29
SQL,Rarely,2022,SQL '22,16
SQL,Never,2022,SQL '22,13
Rust,Always,2022,Rust '22,2
Rust,Frequently,2022,Rust '22,12
Rust,Sometimes,2022,Rust '22,16
Rust,Rarely,2022,Rust '22,14
Rust,Never,2022,Rust '22,56
R,Always,2022,R '22,7
R,Frequently,2022,R '22,19
R,Sometimes,2022,R '22,28
R,Rarely,2022,R '22,23
R,Never,2022,R '22,24
R,Always,2021,R '21,10
R,Frequently,2021,R '21,17
R,Sometimes,2021,R '21,25
R,Rarely,2021,R '21,18
R,Never,2021,R '21,30
R,Always,2020,R '20,10
R,Frequently,2020,R '20,17
R,Sometimes,2020,R '20,20
R,Rarely,2020,R '20,20
R,Never,2020,R '20,34
Python,Always,2022,Python '22,31
Python,Frequently,2022,Python '22,27
Python,Sometimes,2022,Python '22,22
Python,Rarely,2022,Python '22,14
Python,Never,2022,Python '22,6
Python,Always,2021,Python '21,34
Python,Frequently,2021,Python '21,29
Python,Sometimes,2021,Python '21,22
Python,Rarely,2021,Python '21,11
Python,Never,2021,Python '21,4
Python,Always,2020,Python '20,47
Python,Frequently,2020,Python '20,28
Python,Sometimes,2020,Python '20,16
Python,Rarely,2020,Python '20,6
Python,Never,2020,Python '20,4
PHP,Always,2022,PHP '22,5
PHP,Frequently,2022,PHP '22,13
PHP,Sometimes,2022,PHP '22,20
PHP,Rarely,2022,PHP '22,17
PHP,Never,2022,PHP '22,45
Julia,Always,2022,Julia '22,3
Julia,Frequently,2022,Julia '22,12
Julia,Sometimes,2022,Julia '22,17
Julia,Rarely,2022,Julia '22,17
Julia,Never,2022,Julia '22,51
JavaScript,Always,2022,JavaScript '22,6
JavaScript,Frequently,2022,JavaScript '22,20
JavaScript,Sometimes,2022,JavaScript '22,26
JavaScript,Rarely,2022,JavaScript '22,19
JavaScript,Never,2022,JavaScript '22,28
JavaScript,Always,2021,JavaScript '21,8
JavaScript,Frequently,2021,JavaScript '21,16
JavaScript,Sometimes,2021,JavaScript '21,24
JavaScript,Rarely,2021,JavaScript '21,19
JavaScript,Never,2021,JavaScript '21,33
JavaScript,Always,2020,JavaScript '20,3
JavaScript,Frequently,2020,JavaScript '20,12
JavaScript,Sometimes,2020,JavaScript '20,20
JavaScript,Rarely,2020,JavaScript '20,23
JavaScript,Never,2020,JavaScript '20,42
Java,Always,2022,Java '22,7
Java,Frequently,2022,Java '22,18
Java,Sometimes,2022,Java '22,21
Java,Rarely,2022,Java '22,21
Java,Never,2022,Java '22,33
Java,Always,2021,Java '21,6
Java,Frequently,2021,Java '21,15
Java,Sometimes,2021,Java '21,22
Java,Rarely,2021,Java '21,19
Java,Never,2021,Java '21,38
Java,Always,2020,Java '20,3
Java,Frequently,2020,Java '20,7
Java,Sometimes,2020,Java '20,13
Java,Rarely,2020,Java '20,22
Java,Never,2020,Java '20,55
HTML/CSS,Always,2022,HTML/CSS '22,8
HTML/CSS,Frequently,2022,HTML/CSS '22,18
HTML/CSS,Sometimes,2022,HTML/CSS '22,31
HTML/CSS,Rarely,2022,HTML/CSS '22,22
HTML/CSS,Never,2022,HTML/CSS '22,20
Go,Always,2022,Go '22,3
Go,Frequently,2022,Go '22,12
Go,Sometimes,2022,Go '22,18
Go,Rarely,2022,Go '22,14
Go,Never,2022,Go '22,53
C#,Always,2022,C# '22,5
C#,Frequently,2022,C# '22,14
C#,Sometimes,2022,C# '22,19
C#,Rarely,2022,C# '22,19
C#,Never,2022,C# '22,42
C#,Always,2021,C# '21,4
C#,Frequently,2021,C# '21,10
C#,Sometimes,2021,C# '21,19
C#,Rarely,2021,C# '21,18
C#,Never,2021,C# '21,49
C#,Always,2020,C# '20,1
C#,Frequently,2020,C# '20,3
C#,Sometimes,2020,C# '20,8
C#,Rarely,2020,C# '20,18
C#,Never,2020,C# '20,70
C/C++,Always,2022,C/C++ '22,8
C/C++,Frequently,2022,C/C++ '22,18
C/C++,Sometimes,2022,C/C++ '22,23
C/C++,Rarely,2022,C/C++ '22,22
C/C++,Never,2022,C/C++ '22,30
C/C++,Always,2021,C/C++ '21,5
C/C++,Frequently,2021,C/C++ '21,13
C/C++,Sometimes,2021,C/C++ '21,23
C/C++,Rarely,2021,C/C++ '21,25
C/C++,Never,2021,C/C++ '21,34
C/C++,Always,2020,C/C++ '20,2
C/C++,Frequently,2020,C/C++ '20,7
C/C++,Sometimes,2020,C/C++ '20,14
C/C++,Rarely,2020,C/C++ '20,26
C/C++,Never,2020,C/C++ '20,50
Bash/Shell,Always,2022,Bash/Shell '22,9
Bash/Shell,Frequently,2022,Bash/Shell '22,22
Bash/Shell,Sometimes,2022,Bash/Shell '22,24
Bash/Shell,Rarely,2022,Bash/Shell '22,19
Bash/Shell,Never,2022,Bash/Shell '22,26
