Year,Function,Amount[B$]
1953,Health,0.36
1954,Health,0.40
1955,Health,0.54
1956,Health,0.62
1957,Health,0.98
1958,Health,1.12
1959,Health,1.51
1960,Health,1.91
1961,Health,2.25
1962,Health,2.93
1963,Health,3.67
1964,Health,4.63
1965,Health,3.82
1966,Health,4.68
1967,Health,5.56
1968,Health,5.84
1969,Health,6.10
1970,Health,5.79
1971,Health,5.76
1972,Health,6.74
1973,Health,7.79
1974,Health,7.27
1975,Health,7.51
1976,Health,8.51
1977,Health,5.71
1978,Health,8.97
1979,Health,9.73
1980,Health,10.17
1981,Health,10.27
1982,Health,10.21
1983,Health,10.05
1984,Health,9.92
1985,Health,10.80
1986,Health,11.48
1987,Health,11.70
1988,Health,13.41
1989,Health,14.15
1990,Health,14.93
1991,Health,14.89
1992,Health,16.45
1993,Health,17.27
1994,Health,17.32
1995,Health,17.96
1996,Health,16.44
1997,Health,17.63
1998,Health,19.33
1999,Health,21.51
2000,Health,23.34
2001,Health,26.13
2002,Health,29.94
2003,Health,32.84
2004,Health,35.56
2005,Health,36.29
2006,Health,36.04
2007,Health,35.81
2008,Health,36.07
2009,Health,37.05
2010,Health,41.09
2011,Health,41.67
2012,Health,39.03
2013,Health,36.45
2014,Health,34.01
2015,Health,33.77
2016,Health,33.63
2017,Health,36.00
2018,Health,35.80
2019,Health,37.29
2020,Health,38.61
1953,Space,0.40
1954,Space,0.38
1955,Space,0.34
1956,Space,0.38
1957,Space,0.40
1958,Space,0.51
1959,Space,0.81
1960,Space,2.28
1961,Space,4.40
1962,Space,7.50
1963,Space,15.28
1964,Space,24.31
1965,Space,29.10
1966,Space,33.42
1967,Space,31.00
1968,Space,26.51
1969,Space,22.87
1970,Space,18.98
1971,Space,16.13
1972,Space,14.99
1973,Space,14.30
1974,Space,12.71
1975,Space,11.43
1976,Space,11.99
1977,Space,12.15
1978,Space,11.21
1979,Space,10.98
1980,Space,11.77
1981,Space,12.07
1982,Space,6.34
1983,Space,4.50
1984,Space,6.58
1985,Space,5.07
1986,Space,5.90
1987,Space,5.42
1988,Space,6.34
1989,Space,7.91
1990,Space,10.17
1991,Space,10.96
1992,Space,11.32
1993,Space,11.66
1994,Space,10.86
1995,Space,13.15
1996,Space,10.90
1997,Space,12.52
1998,Space,13.12
1999,Space,12.48
2000,Space,7.96
2001,Space,8.06
2002,Space,8.22
2003,Space,8.33
2004,Space,10.90
2005,Space,9.05
2006,Space,8.68
2007,Space,10.56
2008,Space,12.46
2009,Space,11.01
2010,Space,9.49
2011,Space,9.14
2012,Space,11.50
2013,Space,11.96
2014,Space,11.91
2015,Space,12.20
2016,Space,12.36
2017,Space,10.71
2018,Space,10.52
2019,Space,9.99
2020,Space,12.27
1953,Science,0.50
1954,Science,0.53
1955,Science,0.63
1956,Science,0.71
1957,Science,0.87
1958,Science,1.12
1959,Science,1.43
1960,Science,1.66
1961,Science,1.94
1962,Science,2.12
1963,Science,2.43
1964,Science,2.86
1965,Science,2.95
1966,Science,3.26
1967,Science,3.49
1968,Science,3.14
1969,Science,3.78
1970,Science,3.70
1971,Science,3.67
1972,Science,3.81
1973,Science,3.78
1974,Science,3.64
1975,Science,3.50
1976,Science,3.27
1977,Science,3.24
1978,Science,3.16
1979,Science,3.24
1980,Science,3.27
1981,Science,3.52
1982,Science,3.34
1983,Science,3.29
1984,Science,3.55
1985,Science,3.56
1986,Science,3.93
1987,Science,4.03
1988,Science,4.16
1989,Science,4.22
1990,Science,4.17
1991,Science,4.31
1992,Science,4.29
1993,Science,4.23
1994,Science,4.14
1995,Science,4.14
1996,Science,4.36
1997,Science,4.18
1998,Science,5.88
1999,Science,6.35
2000,Science,6.90
2001,Science,6.97
2002,Science,7.21
2003,Science,7.93
2004,Science,8.33
2005,Science,8.48
2006,Science,8.51
2007,Science,8.29
2008,Science,8.25
2009,Science,8.75
2010,Science,9.78
2011,Science,10.84
2012,Science,10.48
2013,Science,10.40
2014,Science,10.28
2015,Science,10.07
2016,Science,10.25
2017,Science,10.23
2018,Science,9.93
2019,Science,9.97
2020,Science,10.52
1953,Energy,0.00
1954,Energy,0.00
1955,Energy,0.21
1956,Energy,0.32
1957,Energy,0.56
1958,Energy,0.77
1959,Energy,0.90
1960,Energy,1.10
1961,Energy,1.18
1962,Energy,2.68
1963,Energy,3.08
1964,Energy,3.30
1965,Energy,3.09
1966,Energy,2.86
1967,Energy,2.94
1968,Energy,3.06
1969,Energy,2.67
1970,Energy,2.43
1971,Energy,2.33
1972,Energy,1.61
1973,Energy,1.78
1974,Energy,2.30
1975,Energy,3.71
1976,Energy,5.29
1977,Energy,7.61
1978,Energy,8.25
1979,Energy,9.92
1980,Energy,9.09
1981,Energy,9.26
1982,Energy,7.83
1983,Energy,6.15
1984,Energy,6.01
1985,Energy,8.95
1986,Energy,5.40
1987,Energy,4.67
1988,Energy,4.46
1989,Energy,4.60
1990,Energy,4.24
1991,Energy,4.37
1992,Energy,4.42
1993,Energy,4.19
1994,Energy,4.32
1995,Energy,5.03
1996,Energy,4.60
1997,Energy,4.06
1998,Energy,2.32
1999,Energy,1.93
2000,Energy,1.86
2001,Energy,1.92
2002,Energy,1.69
2003,Energy,1.84
2004,Energy,1.88
2005,Energy,1.67
2006,Energy,1.47
2007,Energy,1.55
2008,Energy,1.48
